k,total_samples,samples_per_pod,wall_ms,avg_pod_ms,max_pod_ms,pods,node_kubeadm1,node_kubeadm2,node_kubeadm3strong
20,1200000000,60000000,250770,96450.35,149570,20,2,4,14
40,1200000000,30000000,214960,48474.75,75874,40,4,8,28
80,1200000000,15000000,210225,24331.24,38615,80,8,15,57
120,1200000000,10000000,215057,16101.62,26680,120,11,22,87
160,1200000000,7500000,226266,12235.18,21002,160,16,30,114
240,1200000000,5000000,233212,8048.92,15938,240,23,45,172
